# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 58K of event 'cpu-clock'
# Event count (approx.): 14691750000
#
# Overhead  Command          Shared Object                 Symbol                                            
# ........  ...............  ............................  ..................................................
#
     0.00%  gvfsd-fuse       [kernel.kallsyms]             [k] kmem_cache_alloc
     0.00%  gvfsd-fuse       [kernel.kallsyms]             [k] misc_open
     0.00%  gvfsd-fuse       gvfsd-fuse                    [.] 0x000024a9
     0.00%  gvfsd-fuse       ld-2.23.so                    [.] _dl_lookup_symbol_x
     0.00%  gvfsd-fuse       ld-2.23.so                    [.] dl_main
     0.00%  gvfsd-fuse       ld-2.23.so                    [.] do_lookup_x
     0.00%  gvfsd-fuse       ld-2.23.so                    [.] match_symbol
     0.00%  gvfsd-fuse       ld-2.23.so                    [.] strcmp
     0.00%  gvfsd-fuse       libc-2.23.so                  [.] _Unwind_IteratePhdrCallback
     0.00%  gvfsd-fuse       libfuse.so.2.9.4              [.] 0x0000edc0
     0.00%  gvfsd-fuse       libfuse.so.2.9.4              [.] 0x000126a0
     0.00%  gvfsd-fuse       libfuse.so.2.9.4              [.] 0x0001d400
     0.00%  gvfsd-fuse       libgvfscommon.so              [.] g_mount_tracker_get_type
     0.00%  nemu             [kernel.kallsyms]             [k] __call_rcu.constprop.66
     0.00%  nemu             [kernel.kallsyms]             [k] __check_object_size
     0.00%  nemu             [kernel.kallsyms]             [k] __fdget
     0.00%  nemu             [kernel.kallsyms]             [k] __fpu__restore_sig
     0.00%  nemu             [kernel.kallsyms]             [k] __kmalloc_track_caller
     0.00%  nemu             [kernel.kallsyms]             [k] __schedule
     0.00%  nemu             [kernel.kallsyms]             [k] __slab_alloc.constprop.77
     0.00%  nemu             [kernel.kallsyms]             [k] __vmw_cmdbuf_header_free
     0.00%  nemu             [kernel.kallsyms]             [k] __vmw_fences_update
     0.00%  nemu             [kernel.kallsyms]             [k] __wake_up_sync_key
     0.00%  nemu             [kernel.kallsyms]             [k] __x86_indirect_thunk_edi
     0.00%  nemu             [kernel.kallsyms]             [k] _copy_to_iter
     0.00%  nemu             [kernel.kallsyms]             [k] _copy_to_user
     0.00%  nemu             [kernel.kallsyms]             [k] aa_file_perm
     0.00%  nemu             [kernel.kallsyms]             [k] aa_sock_msg_perm
     0.00%  nemu             [kernel.kallsyms]             [k] apparmor_capable
     0.00%  nemu             [kernel.kallsyms]             [k] apparmor_file_permission
     0.00%  nemu             [kernel.kallsyms]             [k] check_stack_object
     0.00%  nemu             [kernel.kallsyms]             [k] convert_from_fxsr
     0.00%  nemu             [kernel.kallsyms]             [k] copy_fpstate_to_sigframe
     0.00%  nemu             [kernel.kallsyms]             [k] copy_page_range
     0.00%  nemu             [kernel.kallsyms]             [k] current_kernel_time64
     0.00%  nemu             [kernel.kallsyms]             [k] dma_pool_free
     0.00%  nemu             [kernel.kallsyms]             [k] do_iter_readv_writev
     0.00%  nemu             [kernel.kallsyms]             [k] do_iter_write
     0.00%  nemu             [kernel.kallsyms]             [k] do_vfs_ioctl
     0.00%  nemu             [kernel.kallsyms]             [k] drm_ht_insert_item
     0.00%  nemu             [kernel.kallsyms]             [k] drm_ioctl
     0.00%  nemu             [kernel.kallsyms]             [k] drm_ioctl_kernel
     0.00%  nemu             [kernel.kallsyms]             [k] drm_ioctl_permit
     0.00%  nemu             [kernel.kallsyms]             [k] drm_mm_remove_node
     0.00%  nemu             [kernel.kallsyms]             [k] filemap_map_pages
     0.00%  nemu             [kernel.kallsyms]             [k] fpstate_init
     0.00%  nemu             [kernel.kallsyms]             [k] fpu__restore
     0.00%  nemu             [kernel.kallsyms]             [k] getrawmonotonic64
     0.00%  nemu             [kernel.kallsyms]             [k] import_iovec
     0.00%  nemu             [kernel.kallsyms]             [k] kfree
     0.00%  nemu             [kernel.kallsyms]             [k] kmalloc_slab
     0.00%  nemu             [kernel.kallsyms]             [k] kmem_cache_alloc
     0.00%  nemu             [kernel.kallsyms]             [k] kmem_cache_free
     0.00%  nemu             [kernel.kallsyms]             [k] memchr_inv
     0.00%  nemu             [kernel.kallsyms]             [k] memset
     0.00%  nemu             [kernel.kallsyms]             [k] mmap_region
     0.00%  nemu             [kernel.kallsyms]             [k] native_flush_tlb_one_user
     0.00%  nemu             [kernel.kallsyms]             [k] netif_skb_features
     0.00%  nemu             [kernel.kallsyms]             [k] note_gp_changes
     0.00%  nemu             [kernel.kallsyms]             [k] page_address
     0.00%  nemu             [kernel.kallsyms]             [k] poll_select_copy_remaining
